
--- [START 2018-08-23_22-25-07] ----------------------------------------------------------------

	SEED         = 35202
	PROJECT_PATH = /root/share/project/kaggle/tgs/build/dummy-06
	__file__     = /root/share/project/kaggle/tgs/build/dummy-06/unet_5_scale_aug0/train.py
	out_dir      = /root/share/project/kaggle/tgs/results/unet-5-scale-more-aug/fold2

	<additional comments> ...  
	  - 5-scale unet  
	  - more augmentation 

** dataset setting **
batch_size = 32
train_dataset.split = list_train2_3600
valid_dataset.split = list_valid2_400

** net setting **
<class 'model.SaltNet'>

** start training here! **
 rate    iter   epoch   | valid_loss               | train_loss               | batch_loss               |  time          
0.0100   15.2   135.1  |  0.047  0.961  (0.779) |  0.007  0.990  |  0.005  0.993  |  1 hr 17 min 
0.0100   15.3   136.0  |  0.058  0.959  (0.778) |  0.007  0.991  |  0.007  0.989  |  1 hr 18 min 
0.0100   15.4   136.9  |  0.056  0.957  (0.773) |  0.007  0.990  |  0.005  0.993  |  1 hr 19 min 
0.0100   15.5   137.8  |  0.055  0.959  (0.774) |  0.006  0.992  |  0.005  0.993  |  1 hr 19 min 
0.0100   15.6   138.7  |  0.055  0.959  (0.776) |  0.005  0.992  |  0.004  0.995  |  1 hr 20 min 
0.0100   15.7   139.6  |  0.048  0.955  (0.764) |  0.003  0.996  |  0.007  0.990  |  1 hr 20 min 
0.0100   15.8   140.4  |  0.064  0.951  (0.757) |  0.006  0.991  |  0.008  0.988  |  1 hr 21 min 
0.0100   15.9   141.3  |  0.051  0.955  (0.774) |  0.006  0.991  |  0.007  0.990  |  1 hr 21 min 
0.0100   16.0   142.2  |  0.053  0.952  (0.764) |  0.007  0.991  |  0.004  0.995  |  1 hr 22 min 
0.0100   16.1   143.1  |  0.048  0.954  (0.762) |  0.010  0.988  |  0.007  0.989  |  1 hr 22 min 
0.0100   16.2   144.0  |  0.052  0.957  (0.773) |  0.007  0.990  |  0.007  0.990  |  1 hr 23 min 
0.0100   16.3   144.9  |  0.050  0.954  (0.729) |  0.011  0.986  |  0.006  0.991  |  1 hr 23 min 
0.0100   16.4   145.8  |  0.053  0.958  (0.780) |  0.007  0.990  |  0.007  0.990  |  1 hr 24 min 
0.0100   16.5   146.7  |  0.054  0.957  (0.785) |  0.006  0.991  |  0.007  0.990  |  1 hr 24 min 
0.0100   16.6   147.6  |  0.054  0.957  (0.779) |  0.005  0.992  |  0.007  0.990  |  1 hr 25 min 
0.0100   16.7   148.4  |  0.043  0.956  (0.771) |  0.006  0.992  |  0.007  0.989  |  1 hr 25 min 
0.0100   16.8   149.3  |  0.043  0.960  (0.778) |  0.007  0.991  |  0.007  0.989  |  1 hr 26 min 
